Nb_sac, Nb_obj, Temps (s), MAX_ITER, NBR_BEE, FLIP, MAX_CHANCES, FITNESS, VALEUR_TOTAL
5, 100, 0.4869976, 10, 5, 13, 9, 49425.0000068711, 34333
5, 100, 0.4894625, 10, 5, 13, 10, 49425.0000068711, 34333
5, 100, 0.7146548, 10, 5, 14, 1, 46545.000006962284, 32708
5, 100, 0.5141406, 10, 5, 14, 2, 49425.0000068711, 34333
5, 100, 0.5047225, 10, 5, 14, 3, 49425.0000068711, 34333
5, 100, 0.5386051, 10, 5, 14, 4, 49425.0000068711, 34333
5, 100, 0.5062474, 10, 5, 14, 5, 49425.0000068711, 34333
5, 100, 0.5509756, 10, 5, 14, 6, 49425.0000068711, 34333
5, 100, 0.5383948, 10, 5, 14, 7, 49425.0000068711, 34333
5, 100, 0.5384118, 10, 5, 14, 8, 49425.0000068711, 34333
5, 100, 0.529716, 10, 5, 14, 9, 49425.0000068711, 34333
5, 100, 0.5429563, 10, 5, 14, 10, 49425.0000068711, 34333
5, 100, 0.6062915, 10, 5, 15, 1, 48641.000006921706, 29054
5, 100, 0.549136, 10, 5, 15, 2, 49425.0000068711, 34333
5, 100, 0.5579545, 10, 5, 15, 3, 49425.0000068711, 34333
5, 100, 0.5821284, 10, 5, 15, 4, 49425.0000068711, 34333
5, 100, 0.8119625, 10, 5, 15, 5, 49425.0000068711, 34333
5, 100, 0.5981004, 10, 5, 15, 6, 49425.0000068711, 34333
5, 100, 0.600881, 10, 5, 15, 7, 49425.0000068711, 34333
5, 100, 0.6373125, 10, 5, 15, 8, 49425.0000068711, 34333
5, 100, 0.6307271, 10, 5, 15, 9, 49425.0000068711, 34333
5, 100, 0.6238941, 10, 5, 15, 10, 49425.0000068711, 34333
5, 100, 0.6870367, 10, 5, 16, 1, 48381.000006777045, 30066
5, 100, 0.6641521, 10, 5, 16, 2, 49425.0000068711, 34333
5, 100, 0.5722176, 10, 5, 16, 3, 49430.0000068711, 33584
5, 100, 0.507613, 10, 5, 16, 4, 49430.0000068711, 33584
5, 100, 0.4896258, 10, 5, 16, 5, 49430.0000068711, 33584
5, 100, 0.5167649, 10, 5, 16, 6, 49430.0000068711, 33584
5, 100, 0.50194, 10, 5, 16, 7, 49430.0000068711, 33584
5, 100, 0.5313702, 10, 5, 16, 8, 49430.0000068711, 33584
5, 100, 0.5431806, 10, 5, 16, 9, 49430.0000068711, 33584
5, 100, 0.5458947, 10, 5, 16, 10, 49430.0000068711, 33584
5, 100, 0.9390375, 10, 5, 17, 1, 48113.00000691386, 30056
5, 100, 0.6270297, 10, 5, 17, 2, 49430.0000068711, 33584
5, 100, 0.6831146, 10, 5, 17, 3, 49430.0000068711, 33584
5, 100, 0.7131553, 10, 5, 17, 4, 49430.0000068711, 33584
5, 100, 0.9209697, 10, 5, 17, 5, 49430.0000068711, 33584
5, 100, 0.5819742, 10, 5, 17, 6, 49430.0000068711, 33584
5, 100, 0.605796, 10, 5, 17, 7, 49430.0000068711, 33584
5, 100, 0.5951105, 10, 5, 17, 8, 49430.0000068711, 33584
5, 100, 0.5903253, 10, 5, 17, 9, 49430.0000068711, 33584
5, 100, 0.5965441, 10, 5, 17, 10, 49430.0000068711, 33584
5, 100, 0.8639485, 10, 5, 18, 1, 47609.000006873845, 31887
5, 100, 0.8177103, 10, 5, 18, 2, 49430.0000068711, 33584
5, 100, 0.6785233, 10, 5, 18, 3, 49430.0000068711, 33584
5, 100, 0.6431169, 10, 5, 18, 4, 49430.0000068711, 33584
5, 100, 0.6344197, 10, 5, 18, 5, 49430.0000068711, 33584
5, 100, 0.6653283, 10, 5, 18, 6, 49430.0000068711, 33584
5, 100, 0.9726378, 10, 5, 18, 7, 49430.0000068711, 33584
5, 100, 1.2522406, 10, 5, 18, 8, 49430.0000068711, 33584
5, 100, 0.6653526, 10, 5, 18, 9, 49430.0000068711, 33584
5, 100, 0.6560392, 10, 5, 18, 10, 49430.0000068711, 33584
5, 100, 0.9610794, 10, 5, 19, 1, 47604.00000697671, 36308
5, 100, 0.6852083, 10, 5, 19, 2, 49430.0000068711, 33584
5, 100, 0.6800885, 10, 5, 19, 3, 49430.0000068711, 33584
5, 100, 0.6722697, 10, 5, 19, 4, 49430.0000068711, 33584
5, 100, 0.6583277, 10, 5, 19, 5, 49430.0000068711, 33584
5, 100, 0.6789142, 10, 5, 19, 6, 49430.0000068711, 33584
5, 100, 0.7236268, 10, 5, 19, 7, 49430.0000068711, 33584
5, 100, 0.7049094, 10, 5, 19, 8, 49430.0000068711, 33584
5, 100, 0.6942521, 10, 5, 19, 9, 49430.0000068711, 33584
5, 100, 0.776747, 10, 5, 19, 10, 49430.0000068711, 33584
5, 100, 0.9197481, 10, 5, 20, 1, 47603.000007147915, 26782
5, 100, 0.7176729, 10, 5, 20, 2, 49430.0000068711, 33584
5, 100, 0.7726548, 10, 5, 20, 3, 49430.0000068711, 33584
5, 100, 0.7220388, 10, 5, 20, 4, 49430.0000068711, 33584
5, 100, 0.712673, 10, 5, 20, 5, 49430.0000068711, 33584
5, 100, 0.7727603, 10, 5, 20, 6, 49430.0000068711, 33584
5, 100, 0.7356457, 10, 5, 20, 7, 49430.0000068711, 33584
5, 100, 0.8861952, 10, 5, 20, 8, 49430.0000068711, 33584
5, 100, 0.8307158, 10, 5, 20, 9, 49430.0000068711, 33584
5, 100, 1.0737577, 10, 5, 20, 10, 49430.0000068711, 33584
5, 100, 0.7661789, 10, 6, 1, 1, 47094.00000675945, 30163
5, 100, 0.497232, 10, 6, 1, 2, 49430.0000068711, 33584
5, 100, 0.4895089, 10, 6, 1, 3, 49430.0000068711, 33584
5, 100, 0.5695633, 10, 6, 1, 4, 49430.0000068711, 33584
