Nb_sac, Nb_obj, Algorithme, Temps (s), VALEUR_TOTAL
31, 1200, BSO, 1.970549, 1534638
31, 1200, GA, 2.8208158, 1848532
33, 1200, BSO, 2.3780981, 1515249
33, 1200, GA, 2.5531246, 1827703
35, 1200, BSO, 2.6065103, 1473866
35, 1200, GA, 2.7918886, 1793604
37, 1200, BSO, 2.801171, 1468049
37, 1200, GA, 3.0625326, 1779316
39, 1200, BSO, 0.4090316, 1499198
39, 1200, GA, 2.9640629, 1821584
41, 1200, BSO, 6.6777313, 1537497
41, 1200, GA, 3.1549647, 1842277
43, 1200, BSO, 3.8045547, 1543203
43, 1200, GA, 3.4700262, 1852967
45, 1200, BSO, 4.1345149, 1535033
45, 1200, GA, 3.3689289, 1839073
47, 1200, BSO, 4.1963085, 1537233
47, 1200, GA, 3.6328168, 1823955
49, 1200, BSO, 4.8374817, 1465734
49, 1200, GA, 3.6476517, 1771683
1, 1300, BSO, 0.1732446, 1531202
1, 1300, GA, 0.1476138, 998427
3, 1300, BSO, 0.196782, 1499808
3, 1300, GA, 0.3369719, 1692260
5, 1300, BSO, 0.2418874, 1528635
5, 1300, GA, 0.5037308, 1936424
7, 1300, BSO, 0.3116371, 1509360
7, 1300, GA, 0.6731862, 1924169
9, 1300, BSO, 0.5946293, 1450479
9, 1300, GA, 0.8148348, 1888910
11, 1300, BSO, 0.5014735, 1475296
11, 1300, GA, 1.0283215, 1934606
13, 1300, BSO, 0.7152485, 1485048
13, 1300, GA, 1.2849607, 1915518
15, 1300, BSO, 0.906811, 1536471
15, 1300, GA, 1.5304124, 1975514
17, 1300, BSO, 1.647832, 1495513
17, 1300, GA, 1.6721906, 1951214
19, 1300, BSO, 1.0856525, 1484399
19, 1300, GA, 1.7651222, 1919589
21, 1300, BSO, 1.336456, 1497662
21, 1300, GA, 1.7889092, 1927879
23, 1300, BSO, 1.402848, 1541597
23, 1300, GA, 1.9783221, 1973923
25, 1300, BSO, 1.8511329, 1456599
25, 1300, GA, 2.3817686, 1897517
27, 1300, BSO, 1.9653965, 1530079
27, 1300, GA, 2.4670913, 2002770
29, 1300, BSO, 2.1276706, 1517940
29, 1300, GA, 2.47463, 1994535
31, 1300, BSO, 2.2626683, 1500099
31, 1300, GA, 2.5389155, 1965007
33, 1300, BSO, 2.5564752, 1467135
33, 1300, GA, 3.0223316, 1922463
35, 1300, BSO, 6.2443979, 1491881
35, 1300, GA, 3.4043487, 1943153
37, 1300, BSO, 0.2559877, 1475352
37, 1300, GA, 3.2826, 1932812
