Nb_sac, Nb_obj, Algorithme, Temps (s), VALEUR_TOTAL
43, 300, BSO, 0.2798314, 218529
43, 300, GA, 0.8417153, 495605
45, 300, BSO, 0.0494401, 228350
45, 300, GA, 0.8739624, 450832
47, 300, BSO, 0.0505979, 223961
47, 300, GA, 0.9081777, 455973
49, 300, BSO, 0.0511158, 233754
49, 300, GA, 1.018637, 461454
1, 400, BSO, 0.0352252, 219580
1, 400, GA, 0.0486406, 307787
3, 400, BSO, 0.0453479, 242313
3, 400, GA, 0.1121459, 534223
5, 400, BSO, 0.0541133, 234901
5, 400, GA, 0.1621596, 601076
7, 400, BSO, 0.055195, 229378
7, 400, GA, 0.2183281, 599582
9, 400, BSO, 0.0615437, 233481
9, 400, GA, 0.2705325, 615530
11, 400, BSO, 0.0963247, 230461
11, 400, GA, 0.3236492, 608945
13, 400, BSO, 0.1089677, 213163
13, 400, GA, 0.3632531, 636321
15, 400, BSO, 0.1428991, 234311
15, 400, GA, 0.4154771, 593993
17, 400, BSO, 0.1678439, 242590
17, 400, GA, 0.4682497, 595493
19, 400, BSO, 0.0494212, 229222
19, 400, GA, 0.5224912, 581938
21, 400, BSO, 0.2236477, 233676
21, 400, GA, 0.5727898, 619872
23, 400, BSO, 0.2722751, 239360
23, 400, GA, 0.7014203, 612907
25, 400, BSO, 0.3026757, 226991
25, 400, GA, 0.6703425, 604145
27, 400, BSO, 0.2005965, 214191
27, 400, GA, 0.7243585, 592303
29, 400, BSO, 0.2311207, 233861
29, 400, GA, 0.7904363, 619644
31, 400, BSO, 0.2531873, 214125
31, 400, GA, 0.8899042, 579318
33, 400, BSO, 0.0606789, 228159
33, 400, GA, 1.0736909, 594180
35, 400, BSO, 0.5631168, 224918
35, 400, GA, 0.9392642, 571854
37, 400, BSO, 0.3290637, 225241
37, 400, GA, 0.963828, 591678
39, 400, BSO, 0.3521005, 213381
39, 400, GA, 1.0829697, 585565
41, 400, BSO, 0.7078488, 219562
41, 400, GA, 1.0826243, 604996
43, 400, BSO, 0.070057, 240654
